NOMEFILE,ANNO,TIPO,liste_sindaco_preferenze_referendum_presidente,rounds,DATA,CITTA,id_elections
comunali_presidente_municipio_3_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_3_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_4_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_4_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_5_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_5_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_6_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_6_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_7_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_7_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_8_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_8_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_9_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_9_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_liste_2013.csv,2013,comunali,liste,single-round,2013-05-26,ROMA,comunali_liste_2013.csv2013_comunali_single-round_ROMA
comunali_presidente_municipio_11_ballotagio_2016.csv,2016,municipali,presidente,run-off,2016-06-19,ROMA,comunali_presidente_municipio_11_ballotagio_2016.csv2016_municipali_run-off_ROMA
comunali_presidente_municipio_12_ballotagio_2016.csv,2016,municipali,presidente,run-off,2016-06-19,ROMA,comunali_presidente_municipio_12_ballotagio_2016.csv2016_municipali_run-off_ROMA
comunali_presidente_municipio_13_ballotagio_2016.csv,2016,municipali,presidente,run-off,2016-06-19,ROMA,comunali_presidente_municipio_13_ballotagio_2016.csv2016_municipali_run-off_ROMA
comunali_presidente_municipio_14_ballotagio_2016.csv,2016,municipali,presidente,run-off,2016-06-19,ROMA,comunali_presidente_municipio_14_ballotagio_2016.csv2016_municipali_run-off_ROMA
comunali_presidente_municipio_15_ballotagio_2016.csv,2016,municipali,presidente,run-off,2016-06-19,ROMA,comunali_presidente_municipio_15_ballotagio_2016.csv2016_municipali_run-off_ROMA
